Fecha de operación,, Precio 
3/4/2020,," $12,120.00 "
3/5/2020,(E)," $12,200.00 "
3/6/2020,," $12,150.00 "
3/9/2020,(E)," $12,150.00 "
3/10/2020,," $12,050.00 "
3/11/2020,," $12,120.00 "
3/12/2020,(E)," $12,000.00 "
3/13/2020,(E)," $11,950.00 "
3/16/2020,(E)," $11,940.00 "
3/17/2020,(E)," $11,900.00 "
3/18/2020,(E)," $11,900.00 "
3/19/2020,," $12,040.00 "
3/20/2020,(E)," $12,080.00 "
3/25/2020,(E)," $12,250.00 "
3/26/2020,," $12,400.00 "
3/27/2020,," $12,550.00 "
3/30/2020,(E)," $12,530.00 "
4/1/2020,," $12,650.00 "
4/2/2020,," $12,690.00 "
4/3/2020,," $12,620.00 "
4/6/2020,(E)," $12,635.00 "
4/7/2020,," $12,650.00 "
4/8/2020,," $12,850.00 "
4/13/2020,," $12,710.00 "
4/14/2020,," $12,730.00 "
4/15/2020,," $12,760.00 "
4/16/2020,," $12,780.00 "
4/17/2020,(E)," $12,800.00 "
4/20/2020,(E)," $12,900.00 "
4/21/2020,," $13,000.00 "
4/22/2020,," $13,050.00 "
4/23/2020,," $12,900.00 "
4/24/2020,," $12,915.00 "
4/27/2020,(E)," $12,800.00 "
4/28/2020,(E)," $12,755.00 "
4/29/2020,," $12,700.00 "
4/30/2020,," $12,660.00 "
5/4/2020,," $12,600.00 "
5/5/2020,," $12,450.00 "
5/6/2020,," $12,450.00 "
5/7/2020,," $12,400.00 "
5/8/2020,," $12,400.00 "
5/11/2020,," $12,090.00 "
5/12/2020,," $12,110.00 "
5/13/2020,," $12,120.00 "
5/14/2020,," $11,900.00 "
5/15/2020,," $11,700.00 "
5/18/2020,," $11,500.00 "
5/19/2020,," $11,510.00 "
5/20/2020,," $11,470.00 "
5/21/2020,," $11,540.00 "
5/22/2020,," $11,500.00 "
5/26/2020,," $11,700.00 "
5/27/2020,," $11,720.00 "
5/28/2020,(E)," $11,800.00 "
5/29/2020,," $11,900.00 "
6/1/2020,," $11,980.00 "
6/2/2020,," $11,980.00 "
6/3/2020,," $12,000.00 "
6/4/2020,," $12,100.00 "
6/5/2020,," $12,250.00 "
6/8/2020,," $12,250.00 "
6/9/2020,," $12,350.00 "
6/10/2020,," $12,430.00 "
6/11/2020,," $12,440.00 "
6/12/2020,," $12,450.00 "
6/16/2020,," $12,495.00 "
6/17/2020,," $12,450.00 "
6/18/2020,," $12,450.00 "
6/19/2020,," $12,500.00 "
6/22/2020,," $12,500.00 "
6/23/2020,," $12,500.00 "
6/24/2020,," $12,800.00 "
6/25/2020,," $12,900.00 "
6/26/2020,," $12,900.00 "
6/29/2020,," $12,980.00 "
6/30/2020,," $12,980.00 "
7/1/2020,," $13,150.00 "
7/2/2020,," $13,150.00 "
7/3/2020,," $13,200.00 "
7/6/2020,," $13,350.00 "
7/7/2020,(E)," $13,500.00 "
7/8/2020,," $13,580.00 "
7/13/2020,," $13,850.00 "
7/14/2020,," $13,864.00 "
7/15/2020,," $14,000.00 "
7/16/2020,," $14,000.00 "
7/17/2020,," $14,100.00 "
7/20/2020,," $14,000.00 "
7/21/2020,," $14,000.00 "
7/22/2020,," $14,000.00 "
7/23/2020,," $13,950.00 "
7/24/2020,," $13,950.00 "
7/27/2020,," $13,700.00 "
7/28/2020,," $13,600.00 "
7/29/2020,," $13,680.00 "
7/30/2020,," $13,690.00 "
7/31/2020,," $13,800.00 "
8/3/2020,," $13,740.00 "
8/4/2020,," $13,750.00 "
8/5/2020,," $13,760.00 "
8/6/2020,," $13,700.00 "
8/7/2020,," $13,400.00 "
8/10/2020,(E)," $13,400.00 "
8/11/2020,," $13,600.00 "
8/12/2020,," $13,600.00 "
8/13/2020,(E)," $13,600.00 "
8/14/2020,," $13,570.00 "
8/18/2020,," $13,650.00 "
8/19/2020,," $13,700.00 "
8/20/2020,(E)," $13,750.00 "
8/21/2020,(E)," $13,900.00 "
8/24/2020,(E)," $14,100.00 "
8/25/2020,(E)," $14,100.00 "
8/26/2020,(E)," $14,200.00 "
8/27/2020,," $14,300.00 "
8/28/2020,(E)," $14,310.00 "
8/31/2020,(E)," $14,340.00 "
9/1/2020,," $14,440.00 "
9/2/2020,(E)," $14,500.00 "
9/3/2020,," $14,600.00 "
9/4/2020,(E)," $14,500.00 "
9/7/2020,(E)," $14,600.00 "
9/8/2020,," $14,700.00 "
9/9/2020,," $14,750.00 "
9/10/2020,(E)," $14,710.00 "
9/11/2020,(E)," $14,710.00 "
9/14/2020,(E)," $14,710.00 "
9/15/2020,(E)," $14,710.00 "
9/16/2020,(E)," $14,750.00 "
9/17/2020,(E)," $14,800.00 "
9/18/2020,(E)," $14,880.00 "
9/21/2020,(E)," $14,920.00 "
9/22/2020,," $14,950.00 "
9/23/2020,(E)," $15,000.00 "
9/24/2020,(E)," $14,740.00 "
9/25/2020,(E)," $14,750.00 "
9/28/2020,(E)," $15,000.00 "
9/29/2020,," $15,000.00 "
9/30/2020,(E)," $14,815.00 "
10/1/2020,(E)," $15,000.00 "
10/2/2020,(E)," $15,100.00 "
10/5/2020,," $15,362.00 "
10/6/2020,," $15,376.00 "
10/7/2020,," $15,382.00 "
10/8/2020,," $15,460.00 "
10/9/2020,," $15,400.00 "
10/13/2020,(E)," $15,600.00 "
